as_name,Count
SOCIETE NATIONALE DES TELECOMMUNICATIONS (Tunisie Telecom),6
LIENVPS TECHNOLOGY COMPANY LIMITED,6
"Far EastTone Telecommunication Co., Ltd.",6
JOBKEY JOINT STOCK COMPANY,6
Symphony Communication (Thailand) PCL.,6
CONA HOSTING SDN BHD,6
Zambia Research and Education Network (ZAMREN),6
Orion Network Limited,6
CPS,6
Railnet LLC,6
"Henan Mobile Communications Co.,Ltd",6
Telefonica del Peru S.A.A.,6
Vodafone Portugal - Communicacoes Pessoais S.A.,6
1984 ehf,6
SONATEL-AS Autonomous System,6
Safaricom Limited,6
AmberIT Limited,6
EOLO S.p.A.,6
Hengyang,6
AIS Fibre,6
rainbow network limited,6
Telenet BV,6
Mobinet LLC. AS Mobinet Internet Service Provider,6
Alliance Broadband Services Pvt. Ltd.,6
GB Network Solutions Sdn. Bhd.,6
EDPNET Belgium BV,6
Companhia de Telecomunicacoes de Macau SARL,6
WIN EMPRESAS S.A.C.,6
Shaw Communications Inc.,6
Compañía Dominicana de Teléfonos S. A.,6
CTGNet,6
KPN B.V.,6
Optimum,6
Windstream Communications LLC,6
CAT Telecom Public Company Limited,6
"Consolidated Communications, Inc.",6
Partner Communications Ltd.,6
PT Mora Telematika Indonesia,6
SERVERS TECH FZCO,6
"Limestone Networks, Inc.",6
Aeza Group Ltd.,6
DoraTelekom,5
Cilnet Comunicação e Informática S.A.,5
H2NEXUS LTD,5
LP TECHNOLOGY ELECTRONIC COMMERCE COMPANY LIMITED,5
Emanuel Hosting Ltd.,5
GRAMEEN COMMUNICATIONS,5
Hydra Communications Ltd,5
GRUPO ZGH SPA,5
CENTRAL SOLUTIONS TECHNOLOGY S.R.L.,5
Forening for DotSrc,5
Dehradun Enet Solutions Private Ltd,5
Proton66 OOO,5
Ekowebtech It Services Pvt Ltd,5
Quanzhou,5
China Unicom,5
DREAMMARK1,5
"Incomparable(HK)Network Co., Limited",5
PJSC Moscow city telephone network,5
Rede Nacional de Ensino e Pesquisa,5
PT. Menaksopal Link Nusantara,5
AZZA TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA,5
Ligga Telecomunicações S.A.,5
SoftBank Corp.,5
"Nepal Telecommunications Corporation, Internet Services,",5
Byteplus Pte. Ltd.,5
Thien Quang Digital technology joint stock company,5
Hosting technology LTD,5
NTT Communications Corporation,5
Orange Romania S.A.,5
"New Century InfoComm Tech Co., Ltd.",5
VEE TIME CORP.,5
INDOSAT Internet Network Provider,5
Pars Shabakeh Azarakhsh LLC,5
1337 Services GmbH,5
CHINANET Yunnan province IDC1 network,5
Mobile Telecommunication Company Saudi Arabia Joint-Stock company,5
NetLab Global,5
aurologic GmbH,5
"JSC ""Silknet""",5
Wana Corporate,5
Amarutu Technology Ltd,5
ETB - Colombia,5
Wholesail networks LLC,5
Webico Company Limited,5
KDDI CORPORATION,5
"Alestra, S. de R.L. de C.V.",5
"Kamatera, Inc.",5
Bouygues Telecom SA,5
Joint Stock Company TransTeleCom,5
"Shanghai Mobile Communications Co.,Ltd.",5
WIIT AG,5
ODS Joint Stock Company,5
Globe Telecom Inc.,5
Bach Kim Network solutions Join stock company,5
Cogent Communications,5
Baxet Group Inc.,5
Syrian Telecommunication Private Closed Joint Stock Company,5
"Level 3 Parent, LLC",5
Cyber Internet Services (Pvt) Ltd.,5
China Unicom IP network China169 Guangdong province,5
Pfcloud UG,5
PT INDONESIA COMNETS PLUS,5
Botswana Telecommunications Corporation,4
KAGOYA JAPAN Inc.,4
HostRush,4
Dhaka Online,4
PT. Inet Global Indo,4
Atlantis Telekomunikasyon Bilisim Hizmetleri San. Tic. Ltd,4
IDATA TECHNOLOGY SOLUTIONS COMPANY LIMITED,4
Hondutel,4
htp GmbH,4
CloudFerro S.A,4
E-life Paraguay S.A.,4
NGSAS NedaGostarSaba,4
"DediOutlet, LLC",4
INTERDIGI JOINT STOCK COMPANY,4
PT. GARUDA PRIMA INTERNETINDO,4
Mobile TeleSystems JLLC,4
TANZANIA TELECOMMUNICATIONS CO. LTD,4
Hawe Telekom S.A. in Restructuring,4
Virgo Communication Ltd,4
Xserver Inc.,4
Code Technology,4
Windstream Communication Limited,4
AT&T Mobility LLC,4
Reload Company Limited,4
CTC. CORP S.A. (TELEFONICA EMPRESAS),4
"PERN AS Content Servie Provider, Islamabad, Pakistan",4
Cogeco Connexion Inc.,4
TalkTalk Communications Limited,4
MEVSPACE sp. z o.o.,4
Rasaneh Avabarid Private Joint Stock Company,4
Vodafone Data,4
SOCIETE BENINOISE D'INFRASTRUCTURES NUMERIQUES,4
Privex Inc.,4
Mario Networks Limited,4
Dade Pardazi Mobinhost Co LTD,4
Binariang Berhad,4
State Company of Electro Communications Turkmentelecom,4
Companhia Itabirana Telecomunicações Ltda,4
"tzulo, inc.",4
Data Hub Pvt. Ltd.,4
Websurfer Nepal Internet Service Provider,4
Excitel Broadband Private Limited,4
Tcloudnet,4
Lanit Technology and Communication Joint Stock Company,4
MobileOne Ltd. Mobile/Internet Service Provider Singapore,4
Vodafone Libertel B.V.,4
MyRepublic Ltd.,4
HK Broadband Network Ltd.,4
ENTEL CHILE S.A.,4
"Haerbing , Heilongjiang Province, P.R.China.",4
GLOBAL INTERNET SOLUTIONS LLC,4
WIND NET S.A.,4
PDR,4
Signet B.V.,4
Link Egypt (Link.NET),4
CHINANET Fujian province Fuzhou IDC network,4
MOACK.Co.LTD,4
Latitude.sh,4
TPG Telecom Limited,4
China Unicom Shenzen network,4
"JSC ""RU-CENTER""",4
"Ansheng Network Technology Co., Limited",4
Nybula LLC,4
Internet Thailand Company Limited,4
Virgin Media Limited,4
National WiMAX/IMS environment,4
Eonix Corporation,4
"GALAXYGATE, LLC",4
BlazeNet's Network,4
EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,4
Gtd Internet S.A.,4
China Mobile Communicaitons Corporation,4
VPSTTT COMPUTER COMPANY LIMITED,4
"CABLE ONE, INC.",4
TurkNet Iletisim Hizmetleri A.S.,4
Rackspace Hosting,4
Respina Networks & Beyond PJSC,4
Nearoute Limited,4
VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED,4
ColocationX Ltd.,4
MT FINANCE LLC,4
BL Networks,4
Multinet Pakistan Pvt. Ltd.,4
Telefonica del Sur S.A.,4
TOPNET,4
Akari Networks,4
LLC Baxet,4
VERO S.A,4
T-Mobile Austria GmbH,4
