asn,Count
AS38248,2
AS41668,2
AS43567,2
AS50053,2
AS132453,2
AS6939,2
AS12252,2
AS37613,2
AS38147,2
AS55410,2
AS57860,2
AS140105,2
AS151704,2
AS151853,2
AS200313,2
AS208131,2
AS214231,2
AS262543,2
AS270243,2
AS12912,2
AS36917,2
AS47119,2
AS50113,2
AS53338,2
AS135061,2
AS139989,2
AS140827,2
AS209033,2
AS263476,2
AS12338,2
AS17813,2
AS18186,2
AS33796,2
AS38210,2
AS45298,2
AS45658,2
AS55501,2
AS58066,2
AS64026,2
AS146966,2
AS149130,2
AS152881,2
AS262210,2
AS328364,2
AS328545,2
AS17726,2
AS21283,2
AS27176,2
AS52361,2
AS134040,2
AS137147,2
AS151893,2
AS207656,2
AS212913,2
AS273508,2
AS932,2
AS1659,2
AS2107,2
AS4637,2
AS8866,2
AS9441,2
AS12741,2
AS15943,2
AS18734,2
AS19994,2
AS20485,2
AS24530,2
AS27951,2
AS28618,2
AS29695,2
AS32097,2
AS37100,2
AS38235,2
AS41608,2
AS41754,2
AS44709,2
AS48347,2
AS55423,2
AS55803,2
AS56478,2
AS58678,2
AS58819,2
AS59162,2
AS132116,2
AS133115,2
AS150452,2
AS197834,2
AS207326,2
AS211301,2
AS263686,2
AS270353,2
AS3326,2
AS4663,2
AS4787,2
AS8315,2
AS9370,2
AS10834,2
AS13188,2
AS13490,2
AS14754,2
AS17754,2
AS18747,2
AS29049,2
AS30844,2
AS31028,2
AS31252,2
AS33070,2
AS38186,2
AS41897,2
AS42532,2
AS43641,2
AS45382,2
AS55824,2
AS56630,2
AS63139,2
AS131090,2
AS133119,2
AS133593,2
AS134674,2
AS134810,2
AS136287,2
AS209242,2
AS212238,2
AS262673,2
AS3356,2
AS6703,2
AS13110,2
AS15958,2
AS17222,2
AS17854,2
AS18182,2
AS21299,2
AS25540,2
AS28840,2
AS37148,2
AS42708,2
AS45753,2
AS49100,2
AS55293,2
AS55685,2
AS58495,2
AS138950,2
AS198037,2
AS200482,2
AS200740,2
AS202425,2
AS262916,2
AS398721,2
AS2280,2
AS4270,2
AS6739,2
AS8636,2
AS9286,2
AS9873,2
AS17638,2
AS18302,2
AS24514,2
AS37204,2
AS38623,2
AS38732,2
AS38818,2
AS38901,2
AS44217,2
AS48147,2
AS50463,2
AS50926,2
AS51645,2
AS57128,2
AS133524,2
AS215208,2
AS273309,2
AS209,2
AS5603,2
AS5610,2
AS8717,2
AS9976,2
AS13037,2
AS13370,2
AS16347,2
AS20845,2
AS21127,2
AS27823,2
AS27839,2
AS32181,2
AS34224,2
AS35706,2
AS35753,2
AS36907,2
AS36914,2
AS38733,2
AS46844,2
AS47330,2
AS51375,2
AS52307,2
AS57354,2
AS57378,2
AS58061,2
AS62468,2
AS132883,2
AS134286,2
AS134771,2
AS135777,2
AS150698,2
AS197450,2
AS2860,2
AS5413,2
AS9929,2
AS20632,2
AS20773,2
AS24164,2
AS24544,2
AS34636,2
AS36943,2
AS49468,2
AS49791,2
AS51219,2
AS63962,2
AS136557,2
AS7470,2
AS7979,2
AS8953,2
AS11419,2
AS13030,2
AS18207,2
AS22552,2
AS24154,2
AS24207,2
AS28598,2
AS44592,2
AS48161,2
AS48635,2
AS57391,2
AS133752,2
AS136258,2
AS204104,2
AS204997,2
AS210630,2
AS215987,2
AS216139,2
AS4685,2
AS6871,2
AS8551,2
